[2021-11-13 19:19:38,397] DEBUG preRegister called. Server=com.sun.jmx.mbeanserver.JmxMBeanServer@5fe5c6f, name=log4j:logger=kafka.controller (kafka.controller)
[2021-11-13 19:19:54,995] INFO [ControllerEventThread controllerId=0] Starting (kafka.controller.ControllerEventManager$ControllerEventThread)
[2021-11-13 19:19:55,031] INFO [Controller id=0] 0 successfully elected as the controller. Epoch incremented to 1 and epoch zk version is now 1 (kafka.controller.KafkaController)
[2021-11-13 19:19:55,039] INFO [Controller id=0] Creating FeatureZNode at path: /feature with contents: FeatureZNode(Enabled,Features{}) (kafka.controller.KafkaController)
[2021-11-13 19:19:55,103] INFO [Controller id=0] Registering handlers (kafka.controller.KafkaController)
[2021-11-13 19:19:55,108] INFO [Controller id=0] Deleting log dir event notifications (kafka.controller.KafkaController)
[2021-11-13 19:19:55,115] INFO [Controller id=0] Deleting isr change notifications (kafka.controller.KafkaController)
[2021-11-13 19:19:55,119] INFO [Controller id=0] Initializing controller context (kafka.controller.KafkaController)
[2021-11-13 19:19:55,156] INFO [Controller id=0] Initialized broker epochs cache: Map(0 -> 25) (kafka.controller.KafkaController)
[2021-11-13 19:19:55,168] DEBUG [Controller id=0] Register BrokerModifications handler for Set(0) (kafka.controller.KafkaController)
[2021-11-13 19:19:55,179] DEBUG [Channel manager on controller 0]: Controller 0 trying to connect to broker 0 (kafka.controller.ControllerChannelManager)
[2021-11-13 19:19:55,191] INFO [RequestSendThread controllerId=0] Starting (kafka.controller.RequestSendThread)
[2021-11-13 19:19:55,191] INFO [Controller id=0] Currently active brokers in the cluster: Set(0) (kafka.controller.KafkaController)
[2021-11-13 19:19:55,192] INFO [Controller id=0] Currently shutting brokers in the cluster: Set() (kafka.controller.KafkaController)
[2021-11-13 19:19:55,192] INFO [Controller id=0] Current list of topics in the cluster: Set() (kafka.controller.KafkaController)
[2021-11-13 19:19:55,192] INFO [Controller id=0] Fetching topic deletions in progress (kafka.controller.KafkaController)
[2021-11-13 19:19:55,196] INFO [Controller id=0] List of topics to be deleted:  (kafka.controller.KafkaController)
[2021-11-13 19:19:55,196] INFO [Controller id=0] List of topics ineligible for deletion:  (kafka.controller.KafkaController)
[2021-11-13 19:19:55,197] INFO [Controller id=0] Initializing topic deletion manager (kafka.controller.KafkaController)
[2021-11-13 19:19:55,198] INFO [Topic Deletion Manager 0] Initializing manager with initial deletions: Set(), initial ineligible deletions: Set() (kafka.controller.TopicDeletionManager)
[2021-11-13 19:19:55,199] INFO [Controller id=0] Sending update metadata request (kafka.controller.KafkaController)
[2021-11-13 19:19:55,219] INFO [ReplicaStateMachine controllerId=0] Initializing replica state (kafka.controller.ZkReplicaStateMachine)
[2021-11-13 19:19:55,220] INFO [ReplicaStateMachine controllerId=0] Triggering online replica state changes (kafka.controller.ZkReplicaStateMachine)
[2021-11-13 19:19:55,231] INFO [ReplicaStateMachine controllerId=0] Triggering offline replica state changes (kafka.controller.ZkReplicaStateMachine)
[2021-11-13 19:19:55,232] DEBUG [ReplicaStateMachine controllerId=0] Started replica state machine with initial state -> Map() (kafka.controller.ZkReplicaStateMachine)
[2021-11-13 19:19:55,233] INFO [PartitionStateMachine controllerId=0] Initializing partition state (kafka.controller.ZkPartitionStateMachine)
[2021-11-13 19:19:55,235] INFO [PartitionStateMachine controllerId=0] Triggering online partition state changes (kafka.controller.ZkPartitionStateMachine)
[2021-11-13 19:19:55,237] INFO [RequestSendThread controllerId=0] Controller 0 connected to DESKTOP-3V635BU:9092 (id: 0 rack: null) for sending state change requests (kafka.controller.RequestSendThread)
[2021-11-13 19:19:55,242] DEBUG [PartitionStateMachine controllerId=0] Started partition state machine with initial state -> Map() (kafka.controller.ZkPartitionStateMachine)
[2021-11-13 19:19:55,242] INFO [Controller id=0] Ready to serve as the new controller with epoch 1 (kafka.controller.KafkaController)
[2021-11-13 19:19:55,260] INFO [Controller id=0] Partitions undergoing preferred replica election:  (kafka.controller.KafkaController)
[2021-11-13 19:19:55,260] INFO [Controller id=0] Partitions that completed preferred replica election:  (kafka.controller.KafkaController)
[2021-11-13 19:19:55,261] INFO [Controller id=0] Skipping preferred replica election for partitions due to topic deletion:  (kafka.controller.KafkaController)
[2021-11-13 19:19:55,261] INFO [Controller id=0] Resuming preferred replica election for partitions:  (kafka.controller.KafkaController)
[2021-11-13 19:19:55,263] INFO [Controller id=0] Starting replica leader election (PREFERRED) for partitions  triggered by ZkTriggered (kafka.controller.KafkaController)
[2021-11-13 19:19:55,296] INFO [Controller id=0] Starting the controller scheduler (kafka.controller.KafkaController)
[2021-11-13 19:20:00,301] INFO [Controller id=0] Processing automatic preferred replica leader election (kafka.controller.KafkaController)
[2021-11-13 19:20:00,302] TRACE [Controller id=0] Checking need to trigger auto leader balancing (kafka.controller.KafkaController)
[2021-11-13 19:20:17,854] INFO [Controller id=0] New topics: [Set(Orders)], deleted topics: [Set()], new partition replica assignment [Set(TopicIdReplicaAssignment(Orders,None,Map(Orders-0 -> ReplicaAssignment(replicas=0, addingReplicas=, removingReplicas=))))] (kafka.controller.KafkaController)
[2021-11-13 19:20:17,856] INFO [Controller id=0] New partition creation callback for Orders-0 (kafka.controller.KafkaController)
[2021-11-13 19:20:35,689] INFO [Controller id=0] New topics: [Set(Resume)], deleted topics: [Set()], new partition replica assignment [Set(TopicIdReplicaAssignment(Resume,None,Map(Resume-0 -> ReplicaAssignment(replicas=0, addingReplicas=, removingReplicas=))))] (kafka.controller.KafkaController)
[2021-11-13 19:20:35,689] INFO [Controller id=0] New partition creation callback for Resume-0 (kafka.controller.KafkaController)
